1421356318.658111 ccnd[4964]: CCND_DEBUG=7 CCND_CAP=1750
1421356318.658268 ccnd[4964]: listening on /tmp/.ccnd.sock.63001
1421356318.658318 ccnd[4964]: accepting ipv4 datagrams on fd 4 rcvbuf 212992
1421356318.658357 ccnd[4964]: accepting ipv4 connections on fd 5
1421356318.658392 ccnd[4964]: accepting ipv6 datagrams on fd 6 rcvbuf 212992
1421356318.658425 ccnd[4964]: accepting ipv6 connections on fd 7
1421356318.713033 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0012/q%A2a%0DF=8D84934DA1EC46DC45EB963679A5178CFFE5AF2DCD914A4D81ADC3 (4506 bytes)
1421356318.713132 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0013/=F99F7CA350B5FE731CC8B8E2B78BF39E089F316D5A565288BDEC3976C54CC100 (4506 bytes)
1421356318.713223 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0014/Kr=862551C9FB2271FF2C12B7761266DFC0CB6F626350CCEC61151F1AFD92DA (4506 bytes)
1421356318.713312 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0015/=97263FDD42790593FE385C3CA5D074609A0E0236252CEF7F192A1A74E87BA39E (4506 bytes)
1421356318.713413 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0016/%C1Pi9p=AAE4964FA15F0CD08E4879D73AB4B23145CC44DA9700522F584270 (4506 bytes)
1421356318.713504 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0017/%DFa=18BFA7789E1219669C303B35F796223C2D0FB5917409617B848A19A749E8 (4506 bytes)
1421356318.713593 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0018/%E94=9B1C11C9898422A8388F1730151F07351ABBC1BDEA37439CB5A20C3D0752 (4506 bytes)
1421356318.713704 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0019/=F9D2475D762D796EC130A5FDF7E8F7884F43F5EAB192DA302E46B8236C099F58 (4506 bytes)
1421356318.713795 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=001A/%89hv=A5D896452737F0839996FBEC93272F670DDD229AC7B56717151FAD7FD7 (4506 bytes)
1421356318.713884 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=001B/=9BB8853F21C3AC6DDB072E3E73119731750934C3399D6E9DF7B15A5CA835FFD4 (4506 bytes)
1421356318.713984 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=001C/%DBU%9EOY%88l=249B680509B0EC0B0518B43EB85778937351767EB7B526B2D7 (4506 bytes)
1421356318.714077 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=001D/=10003E0E960252657DDDEEF924906799BEE1B85CED6C14ACCEBD31D1AFEE0E14 (4506 bytes)
1421356318.714166 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=001E/%ABF%BBt=1AB42CA573D599F3753DAB7C2F2173B9DF79BDFE755FC13EFF2EDAF5 (4506 bytes)
1421356318.714270 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=001F/=C2EB3A1F9D9B36CD37F55AEDF0C5C461FFDA94D0E0CCC36D5A726B94CD8F572E (4506 bytes)
1421356318.714360 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0020/=830F41EBA5EC59F3CCF70EEC4C824ACB68415B8E20C3E7FD2DEE1EE18A42C379 (4506 bytes)
1421356318.714448 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0021/%EAx=C2A2EED04BFCB141C4646612919033FB10F3F5F82D751659F2BA0C8EA9A2 (4506 bytes)
1421356318.714631 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0022/=0B5B26FF398DB0792ECC0A3A4CB34C77287F2D9C5F9A60AF4C37DD6216AA753F (4506 bytes)
1421356318.714742 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0023/=9ED9B821E31A8D3CFA7152A37D7BFE900AA033C87A9BBDC7FDBC732454463F37 (4506 bytes)
1421356318.714850 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0024/=BD1F6AA30D5D49CE0AE55506BA6D622D60A28CB72BF1A474BB018763CCC6A154 (4506 bytes)
1421356318.715026 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0025/=80CD91D4299537793D3B47CC9ED0B455C373E0EF36DCFD076C81987F008106D9 (4506 bytes)
1421356318.715135 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0026/=FD51388A277174F9294F1655CA5C7A6F4A044B0B43CA16811D6A4C78CAF27767 (4506 bytes)
1421356318.715241 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0027/4w%06Iguz=8A7DCBED57A1B2FEBC4197714B501948E347D97914B979542C (4506 bytes)
1421356318.715358 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0028/t=E8AAE7777809AE5F037E48C02227A933907DC6BF80EE7BE8F46E8C141F38C0 (4506 bytes)
1421356318.715463 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0029/8u%3D7=90005A69E54FA993BFBB0E715C1B79B41CF48773DC1BE8BF00E826DD (4506 bytes)
1421356318.715569 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=002A/=ADFA114CA2DF4408882E099D6E0D01C2806B9EFA16B3E1062703B172E6736925 (4506 bytes)
1421356318.715682 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=002B/m=E83DD3C8DAA5EF970B3D8F9C08540179F4943F88A0951C39FC05605B428CE2 (4506 bytes)
1421356318.715786 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=002C/p=A59DBE46F31B45B2BFB6C805976E27467F011175B927806E1762C6F89B9F4B (4506 bytes)
1421356318.715890 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=002D/0=BD04C274F08A19CA6648DE46E0113B080D6984ACBB2280A697D00D6DBFF93C (4506 bytes)
1421356318.716005 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=002E/J=3AAC6F5102101BF8FEB0028451CC4FF7F80B07E8BF63ED8DE323A5395C502F (4506 bytes)
1421356318.716109 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=002F/=FDAC16893D56E806132E50A852CBB8C2B9DCAD1A79A0AFA135112EC381B1F99F (4506 bytes)
1421356318.716215 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0030/s=E8F29857B204E04B03781A919E251E320F5B811BD6D4E9E61AF2026EA51D79 (4506 bytes)
1421356318.716329 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0031/=A640A29DD4B37CA9E8C703E7CBC609C1A9CDFB8B5004B5007F6B3AEB28DB5543 (4506 bytes)
1421356318.716433 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0032/=7CD7F2E3AB1BF8E3EDC934D3917EF7994EAB48796F69E2C051B8F3C9557C5FFC (4506 bytes)
1421356318.716539 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0033/=EA8531C03CDF0D787C309814BD471F1EE7C15F24B234CE69C04B9AA47EBD0B37 (4506 bytes)
1421356318.716653 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0034/%08q%22C=B72B8AE33B99DF126AB7612F90AE6724D7D263F5B2D7AFA78975933C (4506 bytes)
1421356318.716756 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0035/_%A4t=17B3C77672F8FD32629D7C2C2FFFE70BF7DD9C01DE64A7AAC8AC9C89B7 (4506 bytes)
1421356318.716859 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0036/Q=F504C2903EB40C9E79FA744347B761D7E40B3C7178856E885D56BDAB44C1F1 (4506 bytes)
1421356318.716977 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0037/l%04x=ED1C1B9794DC715FA9660E4FC4305CB98E7F8B67A21B4E0CCC7AAECA1B (4506 bytes)
1421356318.717081 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0038/K%8DQ6=AE84AA092AD39C64FFB37E33E29D28BE2B827E87AB8EBB23702D10F8 (4506 bytes)
1421356318.717184 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0039/=CE98BEFC786CF0E4214E43004630F9785AAA372226E56B4E9B6B89D4A1FBC504 (4506 bytes)
1421356318.717297 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=003A/G=8C821C1C156D5B7D2D9FD779F3C2665F84EAF328A96C19DD805C91F9F41E1B (4506 bytes)
1421356318.717410 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=003B/YB%E1B=E05DF2D073EB72D44B021B5F8FE7C9EC532467711B9A4DD62D5A7EB1 (4506 bytes)
1421356318.717513 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=003C/%CA8=A1C0C7DD992D3E5FE95D17B5313EBD05B374B0AB9AA9C367B3CBEC13FF2F (4506 bytes)
1421356318.717631 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=003D/%1C4=27B42BAB9D5F0C6C0EE460B7AE9F1EEE6184224F194283C998319C842EBD (4506 bytes)
1421356318.717738 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=003E/hKH=C4F6AE5B155E4533CEAA1AA685B6A4B86A98C6C33F89FCE970D4FE6813 (4506 bytes)
1421356318.717841 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=003F/I%CBH=99CA152659573F1846275E92C49E8605CE8AD57620D00CF315AE712658 (4506 bytes)
1421356318.717954 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0040/=0E20E756777B6C848D8CAF39243C0437B062B23271D90776EF0DBC948415FC3A (4506 bytes)
1421356318.718062 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0041/-=918B128AE932A51478D4F8AA012AB8025C18D210391272DFE7893DDC321E4E (4506 bytes)
1421356318.718166 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0042/%22M=1BA1F23A4D61E184809D943042FB9F8664B884B4FFF0D468ABDBC822D237 (4506 bytes)
1421356318.718281 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0043/%B1x=E5FE3D2A1A81BDA26359BF10C0FBAEC77808B6D22873B7C5328A30539DEA (4506 bytes)
1421356318.718387 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0044/J=B3ADEC0A3B9B579DE7617F08FECDB77149E4540ABA21B39464F6FF42526646 (4506 bytes)
1421356318.718529 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0045/=9517968945016591810398C474C5D9FC27655FD5CB2CA036985E4E7B439C3268 (4506 bytes)
1421356318.718684 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0046/r=80F12E46CD361AA61FB0CF66A7ED8BF1E35605A39AEA250DE59A45B95C7BC9 (4506 bytes)
1421356318.718790 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0047/%CApq%06v=28B97FD3417897C8A924A5BA600B731E6EEBC255C37065BCA9CD53 (4506 bytes)
1421356318.718894 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0048/=5EBE532BE2C36409478EE529D55ED59C7E2A74979E796790B0281A538130CB45 (4506 bytes)
1421356318.719010 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0049/=B9A5F9D02FEB0B334B0116E98AE2556CEC87E7BD6F696C11E6A60AAA210FC629 (4506 bytes)
1421356318.719115 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=004A/f=8CECA15E1724C53686815272A0363E0F706B0C2716BD53A4DC754D03FF4117 (4506 bytes)
1421356318.719222 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=004B/=E601B80743D0B06A1F2FFC79ABB8E2B6022A33B705D4F0DC03B78917C5C49515 (4506 bytes)
1421356318.719338 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=004C/=AED14D5F6222C7B186EA8CDC594AD1EAEB70216D0CFEB7BF875E52F574BB4BA3 (4506 bytes)
1421356318.719442 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=004D/=B8FC1DE340DBCB8E6E3F165AFCE7142EF4D6BCB88EDA507438510E12B3440689 (4506 bytes)
1421356318.719545 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=004E/=EAF8D4A57A4D5E9F97FAA27EA0E11EEEF87313DD159401090840629977009229 (4506 bytes)
1421356318.719704 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=004F/Z-=1E20AA6C8AFD7697E1260ABBB0A2FEB51FAB763847AED6EDEB2196326B83 (4506 bytes)
1421356318.719814 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0050/=01E726E974B97A413A70CA27263482888BDF4782AA2A86F1CD2F410878E67368 (4506 bytes)
1421356318.719929 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0051/2=F2EFFBE29D8D3C0755577577969E615DCE77EE33F49DDABE53B95EEBDBD7B5 (4506 bytes)
1421356318.720046 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0052/=243C886A6C103EEAD0A2356E3F4E77AF32920127CB09691A3ADCF8EB8059C425 (4506 bytes)
1421356318.720153 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0053/%EFs=3E0A1BFFCF96F1D005DE4A82AE60331AEECB6C5115DEF6E2FF1BF5748024 (4506 bytes)
1421356318.720257 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0054/=EEA2A33A1728D5B0203D39CA46BE91758CA9554188219A2A5ED31F0C65032F9E (4506 bytes)
1421356318.720372 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0055/=96E8043457F128020A977357769C54CDA89A3F6F60B8C3D33CD1DD5E50233DCC (4506 bytes)
1421356318.720478 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0056/=803BFC252B0BF500BCAB64C5007C038142D15894C47D73251CD9CC88A533C284 (4506 bytes)
1421356318.720581 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0057/=8BD96B7CAD9D88FF6808826BE5FCDA1CFEF9321584DB7645C46C17811A8C2821 (4506 bytes)
1421356318.720700 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0058/%CEwx=C53F728D1F7DA5029EFD298D4471A38F4DB6ABA8A1495BCAD3C430CBF2 (4506 bytes)
